t0	24-Sep-20  16:19:33.393727
delta t	6.000000E-7

time	Y
24-Sep-20  16:19:33.393993	0.162598
24-Sep-20  16:19:33.393994	0.166992
24-Sep-20  16:19:33.393994	0.171387
24-Sep-20  16:19:33.393995	0.175537
24-Sep-20  16:19:33.393996	0.179443
24-Sep-20  16:19:33.393996	0.183838
24-Sep-20  16:19:33.393997	0.188232
24-Sep-20  16:19:33.393997	0.192383
24-Sep-20  16:19:33.393998	0.196533
24-Sep-20  16:19:33.393999	0.201172
24-Sep-20  16:19:33.393999	0.205322
24-Sep-20  16:19:33.394000	0.209961
24-Sep-20  16:19:33.394000	0.214600
24-Sep-20  16:19:33.394001	0.219238
24-Sep-20  16:19:33.394002	0.223877
24-Sep-20  16:19:33.394002	0.229004
24-Sep-20  16:19:33.394003	0.233643
24-Sep-20  16:19:33.394003	0.238770
24-Sep-20  16:19:33.394004	0.243652
24-Sep-20  16:19:33.394005	0.248535
24-Sep-20  16:19:33.394005	0.253174
24-Sep-20  16:19:33.394006	0.257080
24-Sep-20  16:19:33.394006	0.261719
24-Sep-20  16:19:33.394007	0.266602
24-Sep-20  16:19:33.394008	0.271240
24-Sep-20  16:19:33.394008	0.275635
24-Sep-20  16:19:33.394009	0.279297
24-Sep-20  16:19:33.394009	0.282959
24-Sep-20  16:19:33.394010	0.287354
24-Sep-20  16:19:33.394011	0.291992
24-Sep-20  16:19:33.394011	0.296631
24-Sep-20  16:19:33.394012	0.301025
24-Sep-20  16:19:33.394012	0.305664
24-Sep-20  16:19:33.394013	0.309570
24-Sep-20  16:19:33.394014	0.314209
24-Sep-20  16:19:33.394014	0.318848
24-Sep-20  16:19:33.394015	0.323730
24-Sep-20  16:19:33.394015	0.328857
24-Sep-20  16:19:33.394016	0.333740
24-Sep-20  16:19:33.394017	0.338135
24-Sep-20  16:19:33.394017	0.343262
24-Sep-20  16:19:33.394018	0.347900
24-Sep-20  16:19:33.394018	0.352295
24-Sep-20  16:19:33.394019	0.356201
24-Sep-20  16:19:33.394020	0.357178
24-Sep-20  16:19:33.394020	0.357422
24-Sep-20  16:19:33.394021	0.357178
24-Sep-20  16:19:33.394021	0.357178
24-Sep-20  16:19:33.394022	0.356689
24-Sep-20  16:19:33.394023	0.355957
